AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-6.64,7.13,0.28, -0.27,-0.12,0.41
-7.21,7.42,-0.06, -0.22,0.05,0.30
-5.93,7.05,-0.04, -0.27,-0.14,0.14
-4.57,9.48,1.50, -0.37,-0.74,1.04
-4.56,9.07,1.82, -0.60,-0.66,1.09
-2.57,10.15,1.85, -0.92,-0.76,2.02
9.64,2.32,0.57, -0.10,0.05,0.09
9.93,2.27,0.99, -0.12,0.08,0.04
9.31,2.49,1.08, -0.04,-0.07,-0.07
9.78,1.79,0.79, -0.01,0.11,-0.08
8.89,1.89,0.71, 0.02,-0.11,0.09
10.54,3.45,0.60, -0.09,0.10,0.29
8.74,2.16,0.59, 0.01,-0.15,0.08
11.07,1.41,0.51, -0.32,-0.50,0.28
10.23,1.30,0.76, -0.41,-0.04,-0.22
11.16,2.75,0.69, -0.12,-0.03,-0.79
9.21,6.34,0.41, 0.13,0.46,-1.67
0.50,10.69,1.37, -0.45,0.00,0.25
2.03,9.55,0.76, -0.35,0.03,-0.04
2.00,10.24,0.41, -0.42,0.21,-0.24
0.07,9.67,1.27, -0.58,-0.21,-0.45
1.22,10.25,1.88, -0.43,0.15,-0.29
2.84,9.75,2.18, -0.47,-0.34,-0.24
-1.09,8.36,3.06, -0.33,0.29,-0.68
0.29,7.96,2.36, -0.11,0.44,-0.63
-0.30,9.68,2.26, 0.08,0.59,-0.68
-4.39,7.79,2.18, -1.02,-0.17,-0.18
-2.90,11.44,1.67, -0.78,-1.24,1.63
-0.22,6.56,2.53, -0.24,-1.72,1.16
8.09,0.10,3.92, -0.16,-0.07,0.06
9.81,1.74,4.74, 0.10,0.05,-0.15
8.85,-0.21,4.91, 0.55,0.09,-0.39
9.64,0.40,5.45, 0.89,0.01,-0.87
-7.39,6.81,0.65, -0.30,-0.39,0.48
-6.15,7.56,1.53, -0.28,-0.41,0.50
-5.98,6.46,1.46, -0.34,-0.50,0.46
-5.67,7.92,1.90, -0.10,-0.68,0.61
-4.49,7.82,2.65, -0.17,-0.48,0.36
-3.93,8.32,3.29, -0.15,-0.71,0.35
-3.05,8.12,3.58, -0.25,-0.97,0.83
0.04,9.00,4.04, -0.24,-1.00,0.92
-1.32,8.25,4.51, -0.43,-0.69,1.76
8.78,-1.57,4.16, 0.01,0.03,-0.01
8.89,-0.52,4.42, 0.14,0.13,-0.07
8.54,0.42,4.50, 0.14,-0.10,-0.15
8.09,0.23,3.98, 0.01,-0.27,-0.13
9.94,-0.99,3.28, 0.05,-0.46,-0.22
10.70,-0.40,3.92, 0.51,-0.45,-0.68
-5.53,7.77,3.47, -0.13,-0.21,0.14
-6.50,5.52,2.72, 0.01,-0.23,-0.12
-7.09,6.05,3.07, -0.10,-0.31,0.12
-4.87,6.65,3.84, 0.04,-0.52,0.07
-2.83,-0.79,0.53, -0.39,-0.78,-1.06
-4.52,7.04,3.75, -0.21,0.12,0.39
-5.68,6.87,3.70, -0.11,0.37,0.35
-5.20,7.08,2.77, -0.20,0.34,0.56
-3.78,7.03,4.46, -0.12,-0.15,0.26
-4.37,8.35,3.42, 0.31,0.15,0.06
-2.98,9.06,1.88, 0.04,-0.12,0.08
-2.88,6.30,3.76, -0.04,-0.05,-0.50
-3.87,7.16,2.71, -0.22,0.20,-0.40
-5.46,7.61,2.45, -0.28,0.27,-0.24
-6.25,8.28,1.90, -0.34,-0.05,0.53
-3.93,8.59,2.98, -0.58,-0.63,1.06
-4.78,8.09,3.04, -0.72,-0.92,1.39
-3.82,7.73,3.44, -0.64,-1.20,1.35
10.12,0.41,4.40, 0.15,-0.02,-0.33
8.15,-0.12,4.90, 0.20,-0.35,-0.46
10.10,0.74,3.78, 0.43,-0.36,-0.66
10.14,0.01,3.59, 0.27,-0.13,-0.22
7.48,1.29,2.14, 0.77,0.00,-0.56
-4.23,6.53,2.35, 0.05,-0.10,-0.31
-4.32,7.67,2.72, -0.03,-0.00,-0.31
-5.25,7.29,2.21, -0.36,0.49,-0.17
-5.77,6.04,2.15, -0.23,0.42,-0.35
-8.15,7.16,-4.18, 0.30,-0.53,-0.54
8.55,-1.06,5.27, 0.02,0.10,-0.22
11.45,-0.89,5.04, 0.65,-0.66,-1.35
8.69,1.83,4.83, 0.76,0.64,-1.26
6.77,5.68,6.50, 0.68,1.95,-1.39
-8.03,4.51,-0.92, -0.12,-0.54,0.52
-7.90,6.03,0.08, -0.33,-0.68,0.81
-6.68,5.62,0.12, 0.01,-0.90,0.86
-7.14,6.48,0.56, -0.21,-0.45,0.42
-7.78,6.84,0.79, -0.30,-0.51,0.62
-6.55,6.35,1.05, -0.21,-1.15,0.86
-5.78,5.30,0.57, -0.13,-1.40,0.91
9.16,0.82,3.69, 0.12,-0.01,-0.37
10.37,1.98,4.63, 0.30,0.20,-0.45
8.48,1.56,2.81, 0.41,0.49,-0.38
11.74,2.30,3.68, 0.62,0.25,-0.89
6.29,3.97,4.47, 0.33,1.26,-0.75
-7.85,5.54,0.22, -0.30,-0.07,0.14
-7.39,6.45,0.42, 0.01,-0.35,0.05
-7.58,5.96,0.29, -0.25,-0.12,0.17
-7.89,5.69,0.50, -0.25,-0.21,0.30
-7.87,6.78,0.83, -0.51,-0.22,1.04
-6.82,7.13,1.37, -0.28,-0.63,1.18
8.48,-1.13,5.21, -0.09,0.21,-0.29
7.63,-0.87,4.89, 0.11,0.88,-0.44
9.46,1.53,6.78, 0.90,0.46,-1.16
-4.57,7.00,1.90, -0.14,-0.42,0.14
-6.11,10.72,2.37, 0.57,-0.28,-0.26
-4.58,7.64,2.97, 0.03,-0.10,0.01
-4.00,9.68,3.32, -0.08,-0.14,0.05
-2.88,7.97,2.98, -0.35,-0.10,0.07
-4.00,7.74,2.99, 0.05,0.46,-0.43
-4.04,8.49,3.97, -0.20,0.14,0.13
-3.94,7.22,3.07, -0.32,0.36,-0.08
-6.16,6.30,-2.28, 0.13,0.65,0.36
-6.07,6.71,-1.34, 0.55,-0.57,0.01
-5.61,7.22,-2.26, 0.45,-0.58,0.32
-5.82,6.17,-3.41, 0.13,-0.65,0.24
-5.38,7.48,-2.26, 0.76,0.25,0.48
-7.44,8.21,-1.64, 0.26,0.27,0.87
-4.26,9.38,-2.03, -0.21,0.08,-0.07
-4.06,8.18,-1.97, -0.11,-0.10,-0.32
-4.60,8.75,-2.17, -0.13,-0.09,-0.02
-3.87,8.36,-2.38, -0.08,0.01,0.01
-3.42,8.14,-2.15, -0.08,0.03,0.04
-3.53,10.22,-2.92, -0.01,-0.04,-0.14
-4.77,9.23,-2.45, -0.18,0.22,0.04
-3.20,8.23,-2.12, -0.19,0.27,0.15
-3.05,9.36,-2.79, 0.14,-0.02,0.02
-3.09,9.24,-2.87, 0.14,0.02,-0.04
-4.33,7.85,-2.97, 0.04,0.07,0.08
-3.25,10.92,-4.09, -0.07,-0.74,-0.30
-2.79,8.28,-0.91, 0.00,-1.00,0.95
-2.93,10.09,-2.22, -0.03,-1.36,0.80
-2.55,8.04,-1.51, -0.10,-1.42,0.67
-1.42,8.76,-3.02, 0.42,-1.39,0.16
-1.85,8.36,-2.80, 1.09,-1.20,-0.22
-2.27,8.35,-2.92, 1.02,-1.05,-0.11
-2.74,9.10,-3.38, 0.79,-1.14,0.34
-2.48,9.66,-3.67, 0.44,-1.50,0.44
-1.36,8.78,-3.48, 0.30,-0.96,0.36
-1.46,7.75,-4.11, 0.20,-0.68,0.11
-3.45,10.06,-3.42, -1.11,-0.13,-0.02
-2.05,8.74,1.90, -0.20,-0.68,-0.42
-1.14,9.14,2.28, -0.05,-0.26,-0.12
-2.04,9.44,2.25, -0.05,-0.09,0.12
-1.38,8.47,2.29, -0.12,-0.08,0.14
-1.18,8.17,2.05, -0.08,-0.14,0.09
-0.59,9.86,2.63, 0.04,-0.08,-0.23
-1.56,8.67,2.43, -0.14,0.03,0.10
-1.06,9.17,2.45, -0.07,-0.21,-0.10
-1.78,8.09,2.88, -0.13,-0.26,-0.26
-1.82,9.15,2.33, -0.00,-0.23,-0.28
-1.39,9.19,1.87, 0.13,-0.20,-0.20
-1.58,9.33,1.52, 0.11,-0.03,0.07
-1.34,9.79,1.30, 0.12,0.12,0.27
-1.43,8.88,0.92, 0.09,0.08,0.03
-2.22,8.21,2.08, 0.17,-0.02,0.09
-0.08,9.68,1.28, -0.17,0.24,0.22
-2.28,9.90,0.89, -0.15,0.09,0.37
-2.54,8.99,1.12, 0.19,-0.20,-0.56
-1.03,10.32,1.46, -0.16,-0.35,-0.05
-0.46,9.12,1.68, 0.38,0.08,-0.26
-1.11,10.20,1.61, 0.53,0.64,0.07
-1.01,6.54,-8.07, 0.13,-0.10,-0.20
-0.96,5.96,-7.91, -0.06,-0.09,-0.23
-2.24,6.15,-7.51, 0.13,-0.02,-0.51
-0.02,6.47,-9.03, -2.15,0.88,1.62
-0.81,9.60,-7.24, -1.39,0.15,-0.23
-0.01,7.79,2.71, -1.24,-1.15,0.77
-2.11,8.09,1.45, -0.28,1.03,-0.10
-12.17,11.57,15.32, -1.36,1.01,-1.15
-1.02,11.62,1.39, 0.39,3.41,-4.37
-1.57,8.40,2.05, 0.95,-0.16,-0.41
0.99,6.62,-8.37, -0.59,-0.42,0.10
0.80,6.40,-7.97, -0.55,-0.79,0.32
1.23,6.13,-8.93, -0.54,-0.53,0.26
-0.78,5.90,-9.33, 0.50,-0.22,-0.40
-0.76,6.61,-9.74, -0.73,-0.84,-0.36
0.02,6.05,-8.48, -1.25,-0.91,0.28
0.53,8.18,-8.27, -1.39,0.35,0.88
0.51,5.40,-4.32, -1.50,1.62,-0.43
-5.46,6.87,3.90, -0.35,-0.10,-0.07
-3.73,7.29,3.77, 0.95,-0.64,-0.04
-3.80,7.90,3.94, 1.15,-0.64,0.11
-3.33,7.23,3.40, 1.24,-0.56,-0.02
-3.62,7.54,2.65, 1.59,-0.56,-0.27
-2.95,7.25,2.12, 1.45,-0.26,-0.17
-2.44,9.07,1.89, 2.90,-1.21,0.38
-3.06,4.11,-8.15, -0.61,-0.52,-0.36
-3.89,5.12,-7.87, -0.03,-0.02,-0.10
-3.79,5.06,-7.98, 0.30,0.36,-0.23
-4.26,5.51,-8.25, 0.02,0.29,-0.09
-4.03,5.28,-8.49, -0.25,0.22,-0.03
-2.53,4.54,-8.91, 0.01,0.43,0.04
-3.09,6.26,-9.45, -0.27,0.49,0.28
-3.78,6.61,-8.99, -0.70,0.68,0.04
-3.42,6.28,-7.79, -0.99,-1.30,0.36
-2.77,5.96,-10.88, -1.25,-2.72,-0.00
-2.75,5.85,4.47, 0.06,-0.13,-0.50
-5.82,6.45,4.36, 0.00,0.11,-0.35
-5.43,7.70,3.91, 0.65,0.06,-0.24
-6.51,6.88,5.47, -0.39,-0.40,-0.36
-4.50,6.63,5.25, -0.48,0.01,0.53
-4.41,7.02,4.31, 0.01,-0.05,0.06
-3.88,6.37,4.84, 0.42,-0.63,0.31
-2.56,8.85,4.04, 1.70,-1.40,-0.87
-7.25,5.57,-4.47, -0.12,0.37,-0.32
-7.38,5.41,-4.85, -0.17,0.93,0.14
-7.89,5.90,-5.13, -0.79,0.87,0.83
-8.16,6.53,-4.93, -0.90,0.91,0.89
-3.39,8.14,0.36, -1.71,1.81,0.40
-6.59,6.78,-1.52, -1.38,0.88,0.62
-3.99,6.19,5.08, -0.02,0.79,0.45
-3.52,7.61,4.47, 0.18,0.64,0.08
-2.74,6.33,3.27, 0.37,-2.60,-0.12
-1.96,8.76,3.20, 0.19,-0.17,-0.25
-1.55,7.04,2.94, -0.43,0.37,0.23
-3.14,9.37,5.00, -0.23,0.37,0.16
-2.01,7.92,3.59, -0.46,0.22,0.38
-4.36,9.26,3.34, 0.15,-0.74,-0.63
-1.13,7.64,3.49, -0.18,0.18,-0.00
-1.87,8.85,3.98, 0.07,0.13,-0.40
-1.15,8.95,3.78, -0.11,0.21,-0.20
-1.76,7.65,3.77, -0.10,0.19,-0.08
-2.51,8.28,4.30, 0.35,0.06,-0.67
-2.46,8.35,3.71, 0.32,-0.19,-0.69
-3.41,9.91,1.29, -0.35,0.18,0.24
-4.01,8.35,0.90, -0.97,1.68,1.25
-5.79,7.04,4.37, -1.79,2.31,1.52
-1.79,9.73,4.02, 0.20,-0.25,-0.23
1.72,9.28,4.05, -0.05,0.16,-0.43
-3.61,3.44,5.71, -0.05,0.90,-0.89
-1.54,8.37,3.25, -0.82,1.09,-0.02
-3.18,6.41,4.12, -1.05,1.25,0.72
-6.45,9.51,5.89, 0.32,1.51,0.48
-3.77,5.75,9.79, -0.37,0.14,0.48
-6.70,5.78,7.73, -0.21,0.59,-0.31
0.94,3.93,5.08, -0.54,-1.78,1.17
-6.25,6.75,6.94, -0.34,1.36,0.32
-5.14,6.26,5.67, -0.18,0.09,0.19
-3.98,6.46,5.76, -0.02,-0.23,-0.09
-3.32,5.40,6.07, -0.30,-0.27,0.18
-7.03,2.31,4.41, 0.15,-0.67,-0.64
-6.25,3.87,5.66, 0.25,-0.95,-0.41
-4.74,4.37,6.51, 0.22,-0.63,-0.55
-5.18,5.35,6.07, 0.19,-0.69,-0.87
-4.42,6.01,5.72, 0.09,-0.23,-1.34
-3.19,5.19,5.55, 0.13,-0.62,1.16
-6.65,5.31,5.88, -0.15,-0.36,-0.29
-4.58,5.59,7.54, -0.09,-0.32,0.42
-3.36,6.18,6.05, -0.10,-0.05,0.57
-2.62,6.37,6.20, 0.02,-0.75,-0.07
-5.45,5.29,3.06, -1.13,0.24,-0.34
-3.98,5.67,5.51, -1.01,0.22,-0.74
-9.00,0.34,-0.45, 0.80,1.98,0.08
-7.77,0.52,-3.79, 0.42,-1.20,0.25
-9.74,1.12,-3.32, 0.00,0.20,1.24
-8.90,2.73,-4.53, 0.67,0.06,1.70
-4.23,7.93,3.31, -0.57,0.21,-0.45
-5.19,6.58,3.40, -1.15,0.99,-0.48
-8.87,0.82,-5.56, -0.14,0.10,0.17
-7.62,0.40,-5.64, -0.01,-0.25,-0.10
-9.07,0.46,-5.63, -0.15,0.14,0.25
-7.79,0.72,-5.89, 0.03,-0.32,-0.12
-8.26,0.12,-4.65, -0.22,0.07,0.17
-10.05,2.35,-3.38, 0.07,-0.97,1.68
