AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-4.37,9.06,1.10, -0.39,-0.20,0.19
-3.39,8.69,3.00, -0.65,-0.66,0.46
-2.87,8.62,2.84, -0.36,-0.76,0.47
-1.66,7.74,5.46, 0.69,-1.19,-0.57
-1.99,9.62,3.74, 0.48,-1.53,-0.60
1.81,9.75,1.48, 0.67,-1.24,-0.81
-2.19,8.31,3.55, 0.36,-0.91,-0.36
-1.39,8.06,1.94, 0.07,0.14,-0.14
-1.88,8.53,2.68, 0.09,0.16,-0.10
-1.08,9.45,2.41, -0.18,-0.14,0.42
-1.38,8.29,2.35, -0.08,0.27,0.07
-0.40,9.52,1.65, -0.26,-0.42,0.55
-5.03,8.71,1.24, 0.09,0.23,-0.50
-1.80,8.73,2.27, -0.03,-0.12,-0.63
-1.81,9.22,1.92, -0.36,0.01,-0.15
-1.76,10.22,1.40, -0.41,0.15,-0.33
-1.94,8.46,2.45, -0.97,0.88,0.47
-1.12,9.90,0.62, -1.28,1.18,0.55
0.07,8.68,3.91, -0.24,1.33,-0.12
-2.89,8.60,4.70, -0.06,-0.11,-0.35
-2.79,6.90,3.57, -0.31,-0.12,-0.42
-4.60,5.93,2.49, -0.11,-0.22,-0.81
-3.25,6.97,6.19, 0.02,-0.27,-0.57
-1.17,10.26,1.59, 1.09,-0.93,-0.43
-4.01,10.67,2.83, 0.63,-0.95,0.07
-3.36,8.96,-0.70, -0.36,1.44,1.55
-0.85,9.34,-2.19, -0.55,-0.04,-0.49
-1.46,10.58,-1.03, -0.88,2.30,0.97
-1.22,5.29,3.88, -1.10,2.03,0.12
0.01,7.97,-2.03, -0.73,-0.17,-0.17
-1.33,7.81,-2.47, -1.35,0.29,0.31
-3.40,7.51,3.86, -0.55,0.33,0.18
-2.92,7.51,5.59, -1.42,1.64,1.99
-3.28,8.57,4.11, 0.34,-1.03,-0.29
-2.94,7.89,3.39, -0.10,0.14,-0.07
-3.09,7.51,3.38, 0.08,0.11,-0.15
-3.04,7.65,2.89, 0.18,-0.06,-0.23
-3.57,7.60,3.37, 0.16,-0.23,-0.09
-2.11,6.99,2.02, 0.65,-0.27,-0.28
-2.94,7.35,3.34, 0.63,-0.07,-0.41
-3.14,6.96,3.36, 0.82,-0.16,-0.41
-7.10,6.49,0.20, -0.00,-0.55,0.38
-5.32,7.14,0.51, -0.55,-0.83,0.40
-6.31,7.19,0.75, -0.85,-0.53,0.61
-3.02,7.69,2.11, -0.81,-1.10,0.27
-6.03,9.09,1.02, -0.91,-0.71,1.05
-3.43,5.88,2.29, -1.33,-0.96,1.40
-0.17,7.45,4.55, 0.42,0.61,-0.75
-2.16,8.48,4.64, 0.49,0.71,-0.65
-5.08,9.29,1.49, -0.17,-0.19,0.30
-4.36,7.97,1.73, -0.17,-0.23,0.14
-3.89,7.98,2.54, -0.06,-0.25,-0.09
-3.65,9.03,2.92, 0.54,0.50,-0.53
-4.28,8.02,1.47, -1.66,-0.72,1.11
-7.65,-5.03,-3.07, -3.90,-2.40,3.64
-1.02,6.41,4.97, 0.49,0.21,-0.57
-2.72,7.35,4.98, 0.95,0.94,-0.79
-0.48,7.82,4.54, 0.13,-0.12,-0.07
