AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-3.03,7.99,3.62, -0.32,0.22,0.21
-3.73,7.26,3.52, -0.10,-0.91,-0.37
-2.29,8.00,4.89, 0.29,-0.46,-0.32
-2.16,6.98,3.71, 0.24,-0.52,-0.29
-1.48,9.35,3.77, 0.03,-0.41,-0.13
-3.52,6.06,2.88, -1.07,-0.08,0.53
-1.33,8.73,2.83, -0.17,-0.05,-0.00
-2.84,7.41,3.89, -0.16,0.23,0.05
-2.60,9.08,4.86, -0.23,0.54,0.35
-2.67,7.56,3.46, 0.05,0.06,-0.01
-1.81,8.02,4.02, 0.05,-0.02,0.09
-2.10,9.84,4.03, 0.17,-0.19,-0.14
-5.76,9.52,3.50, -0.91,0.29,0.27
-3.36,6.40,3.30, -0.44,0.47,0.37
-2.40,7.16,3.96, -0.35,0.58,0.39
-2.00,7.61,3.61, -0.32,0.46,0.42
-1.76,9.21,4.64, -0.40,0.81,0.47
-1.01,7.30,2.73, -0.23,0.28,-0.04
-0.95,6.81,2.38, 0.10,0.09,-0.36
-2.54,8.55,4.33, -0.13,0.06,-0.12
-1.68,7.72,3.99, -0.45,0.06,0.14
-3.33,8.23,3.86, -0.21,-0.06,-0.07
-2.57,6.77,3.14, -0.85,0.81,0.86
-1.88,8.79,3.68, 0.02,0.25,0.23
-1.54,7.24,4.05, 0.00,-0.31,-0.01
-2.31,7.24,4.27, 0.11,-0.45,-0.37
-3.34,7.70,3.85, 0.32,-0.74,-0.60
-2.60,7.95,3.85, 0.25,-0.98,-0.42
-2.31,7.78,4.76, 0.15,-0.59,-0.52
-2.81,7.03,4.55, 0.22,-0.73,-0.31
-3.24,7.90,4.57, 0.44,-0.81,-0.45
-2.08,7.54,3.69, 0.17,-0.31,-0.08
-1.95,7.81,3.63, 0.11,0.08,-0.13
-1.37,8.00,3.38, 0.13,0.29,0.16
-2.30,9.37,4.26, -0.39,0.73,0.31
-0.81,7.80,4.45, -1.19,0.90,0.52
-2.60,10.10,4.11, 0.10,0.08,0.07
-3.01,7.39,3.85, -0.14,0.71,0.23
-2.97,6.74,4.68, -0.21,0.75,0.12
-2.77,7.07,4.54, -0.28,0.47,0.13
-4.98,7.62,2.98, 0.16,-1.11,-0.56
-3.91,7.44,4.48, 0.54,-1.23,-0.83
-1.63,9.27,4.13, 0.54,-1.19,-0.53
-2.39,7.54,3.71, 0.57,-0.60,-0.54
-2.10,9.32,3.32, 0.67,-0.43,-0.53
-2.54,10.61,3.31, 0.11,0.34,-0.20
-4.26,8.71,3.18, -0.16,0.02,0.06
-3.67,6.26,3.15, -0.24,0.31,0.19
-4.12,7.57,4.00, -0.23,0.22,0.18
-2.15,8.74,3.35, 0.05,0.21,-0.02
-2.21,7.75,3.01, -0.17,0.17,0.12
-3.04,9.37,3.51, -0.33,0.15,0.06
-2.21,10.32,3.57, 0.38,-0.50,-0.38
-3.52,8.59,3.80, -0.00,0.09,-0.20
-3.61,7.09,3.96, -0.24,0.23,0.25
-3.76,7.97,4.69, -0.08,0.13,0.29
-2.76,6.45,3.00, -0.12,-0.27,0.06
-3.22,7.44,2.88, 0.18,-0.30,-0.03
-3.01,7.62,3.39, 0.25,-0.48,-0.29
-2.77,9.57,3.15, 0.03,-0.47,-0.27
-3.69,8.67,3.40, -0.97,-0.13,0.01
-3.40,6.17,2.80, -0.61,-0.11,0.06
-3.71,6.84,3.23, -0.51,0.34,0.27
-2.72,6.78,3.58, -0.43,0.61,0.24
-3.53,6.76,3.40, -0.55,0.82,0.45
-4.70,7.92,2.84, -0.63,0.55,1.11
-3.32,9.16,4.35, -0.84,0.56,0.40
-2.98,7.86,2.80, -0.89,1.11,0.73
-2.49,7.87,1.82, -0.11,0.41,-0.13
-3.36,7.91,2.92, -0.39,0.68,0.10
-3.53,7.64,3.16, -0.34,0.48,0.13
-2.83,7.88,3.63, -0.27,0.34,0.09
-3.34,8.83,3.90, -0.47,0.27,0.08
-4.83,8.66,2.40, -0.94,0.87,0.28
-5.25,6.09,2.96, -0.91,0.75,0.59
-4.62,7.46,3.72, -0.65,0.72,0.55
-5.33,5.90,2.89, -1.04,0.69,0.88
-4.57,6.94,4.19, -0.65,0.94,1.16
-1.13,8.62,3.07, 0.03,-0.08,0.29
-2.55,7.31,3.35, -0.21,-0.36,0.25
-3.12,9.23,4.81, 0.72,-0.65,-0.61
