AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-3.34,8.49,2.64, -0.12,-0.00,0.01
-3.62,8.35,2.98, -0.15,0.07,-0.04
-3.43,7.99,2.96, -0.14,0.18,0.02
-2.10,8.61,3.40, 0.57,-1.16,-0.27
-3.02,8.37,2.31, 0.16,0.05,-0.09
-2.47,8.69,2.35, 0.00,-0.01,-0.06
-2.60,9.64,2.07, -0.17,-0.00,-0.12
-2.95,8.42,2.65, -0.31,0.58,0.11
-3.80,8.24,2.43, -0.48,0.21,0.05
-3.18,8.08,3.00, -0.39,0.59,-0.01
-3.37,8.30,2.83, -0.07,-0.14,-0.03
-3.67,7.67,3.76, -0.06,0.03,-0.01
-3.83,7.78,3.33, -0.01,-0.16,-0.02
-2.28,8.57,3.14, 0.35,-0.71,-0.01
-1.91,8.88,2.85, 0.26,-0.38,0.02
-3.62,8.26,2.13, 0.29,-0.23,0.03
-3.72,9.48,2.28, -0.08,0.46,0.03
-1.82,8.41,2.24, 0.10,0.08,-0.09
-2.95,8.98,2.04, 0.04,0.06,-0.12
-2.26,9.19,1.70, -0.03,-0.01,-0.03
-2.98,8.74,1.98, -0.13,0.08,-0.00
-2.29,9.31,1.19, -0.11,-0.22,0.07
-3.03,8.96,2.86, -0.01,0.18,-0.17
-2.64,8.92,0.81, -0.03,-0.09,-0.16
-2.65,8.42,1.75, -0.16,0.00,0.01
-3.34,8.84,1.44, -0.06,-0.07,-0.06
-2.99,8.77,1.85, -0.06,-0.16,0.06
-2.95,8.98,1.35, -0.10,-0.10,0.06
-2.78,8.65,1.61, -0.07,-0.06,-0.08
-2.59,9.05,1.29, -0.07,-0.07,0.03
-3.15,8.91,1.41, -0.05,-0.17,-0.00
-2.46,8.83,1.41, -0.09,-0.08,0.06
-2.23,9.33,1.14, -0.08,-0.10,0.03
-3.20,8.96,1.38, -0.04,-0.13,0.00
-2.50,8.62,1.58, 0.04,-0.16,-0.07
-1.93,9.33,1.24, -0.12,-0.01,0.08
-3.08,8.85,2.36, 0.02,-0.03,-0.06
-2.70,8.93,0.10, -0.07,-0.16,-0.25
-3.10,9.44,1.81, -0.15,0.08,0.11
-3.14,8.81,1.51, -0.07,-0.02,-0.06
-3.15,8.91,1.53, -0.09,-0.07,0.01
-3.32,8.78,1.26, -0.07,-0.12,0.03
-3.22,8.97,1.66, -0.09,-0.12,0.04
-3.19,8.96,1.33, -0.11,-0.10,0.02
-3.18,8.86,1.44, -0.08,-0.07,0.00
-3.37,8.85,1.78, -0.10,-0.03,0.08
-2.53,8.87,1.18, -0.05,-0.11,0.00
-3.22,8.84,1.28, -0.09,-0.08,-0.02
-2.27,9.28,0.93, -0.05,-0.14,-0.02
-3.21,8.68,1.58, -0.08,-0.12,-0.02
-3.20,8.90,1.72, -0.05,-0.24,0.08
-2.32,9.12,1.16, 0.03,-0.58,0.04
-2.58,9.33,2.26, 0.09,-0.30,-0.06
-1.97,8.60,0.95, -0.10,-0.14,0.07
-1.72,9.07,1.11, -0.25,0.28,-0.02
-2.42,9.18,1.14, -0.38,0.17,0.22
-2.98,8.96,1.03, -0.54,0.93,-0.10
-2.72,8.50,1.52, -0.05,-0.13,0.05
-3.18,9.02,1.86, -0.08,-0.16,-0.00
-3.28,8.92,1.97, -0.07,-0.07,0.05
-2.89,8.36,2.15, -0.06,0.05,-0.10
-2.89,9.01,1.27, -0.09,-0.13,-0.01
-1.97,9.29,2.53, -0.00,-0.04,-0.08
-3.03,8.75,1.07, -0.21,0.10,-0.17
-2.34,8.78,2.43, -0.14,0.11,-0.02
-2.99,8.73,1.64, -0.08,-0.07,-0.02
-3.16,8.40,1.29, -0.16,0.20,-0.14
-2.88,8.58,1.74, -0.04,-0.03,-0.07
-2.47,8.87,1.46, -0.07,-0.14,-0.02
-2.96,8.65,1.60, -0.06,-0.11,-0.03
-3.19,9.01,1.79, -0.06,-0.06,-0.06
-2.71,8.54,2.00, -0.02,-0.06,-0.09
-1.95,8.75,1.04, -0.13,0.01,-0.06
-2.90,9.01,2.09, -0.11,0.00,0.03
-2.58,8.70,1.58, -0.08,0.06,-0.04
-2.97,8.71,1.75, -0.01,-0.08,-0.07
-3.16,9.06,1.95, -0.03,-0.09,0.02
-2.21,9.10,1.30, -0.06,-0.04,-0.02
-2.63,9.22,1.31, -0.06,-0.13,0.03
-2.91,8.87,1.58, -0.11,-0.03,-0.01
-2.84,8.83,1.61, -0.07,-0.10,-0.03
-3.24,8.59,2.04, -0.07,-0.09,-0.02
-2.08,9.16,1.33, -0.03,-0.23,0.04
-2.68,8.57,2.32, -0.13,0.16,-0.08
-2.84,8.52,1.76, -0.09,0.09,-0.07
-2.93,8.56,1.05, -0.13,0.06,-0.06
-2.60,8.93,1.08, -0.06,-0.20,-0.08
-2.85,9.09,1.78, -0.11,-0.07,0.02
-2.42,8.87,1.08, -0.03,-0.22,0.01
-2.70,8.76,2.28, -0.10,0.03,-0.07
-2.25,9.09,1.24, -0.08,-0.16,0.01
-2.33,8.32,2.35, -0.08,-0.14,0.00
-1.81,9.23,1.33, -0.20,-0.10,-0.03
-3.55,8.84,1.81, -0.31,0.36,0.09
-2.16,8.95,2.44, -0.19,-0.02,0.16
-3.40,7.89,1.90, -0.11,0.11,0.11
-1.78,9.63,2.32, 0.04,-0.31,-0.16
-2.41,8.87,1.23, -0.19,-0.16,0.03
-2.74,8.94,1.81, -0.06,-0.17,-0.06
-2.53,8.59,2.53, -0.05,0.03,-0.06
-2.40,9.23,1.48, -0.08,-0.12,-0.04
-2.00,8.65,2.31, -0.02,-0.24,-0.03
-2.62,8.66,1.90, -0.30,0.39,-0.14
-2.69,8.77,1.83, -0.14,0.00,-0.06
-2.16,8.83,1.59, -0.10,-0.03,0.06
-2.20,8.46,2.32, -0.12,0.15,-0.08
-2.81,8.44,2.12, -0.13,0.09,0.03
-2.55,8.82,1.92, -0.05,-0.08,-0.01
-2.63,8.77,2.04, -0.06,-0.02,-0.03
-2.61,8.61,1.89, -0.06,-0.06,-0.08
-2.68,8.71,2.05, -0.06,-0.03,-0.10
-3.14,8.46,1.87, -0.09,0.02,-0.03
-1.58,7.89,2.61, -0.12,-0.07,0.16
-2.17,9.19,1.80, -0.00,-0.22,0.05
-1.52,9.22,2.43, -0.07,0.12,-0.03
-2.66,8.60,1.57, -0.16,0.16,-0.08
-2.74,8.71,1.84, -0.05,-0.05,-0.04
-2.98,8.58,1.89, -0.10,-0.02,0.01
-1.43,8.96,2.39, -0.14,-0.03,0.10
-2.52,9.22,1.80, -0.01,-0.17,-0.06
-2.78,8.79,1.81, -0.09,0.03,-0.08
-1.89,9.03,1.16, -0.14,-0.11,-0.00
-2.51,9.05,2.42, -0.06,-0.16,0.05
-2.32,8.68,1.89, -0.03,-0.13,-0.07
-1.61,9.45,1.66, -0.09,-0.17,0.03
-2.49,9.03,1.69, -0.08,0.04,0.02
-2.61,8.89,1.81, -0.06,-0.01,-0.04
-2.48,9.39,1.52, -0.01,-0.19,-0.04
-2.59,8.63,1.94, -0.13,0.11,-0.08
-2.88,8.73,1.99, -0.08,-0.06,-0.06
-2.57,8.78,1.75, -0.11,0.01,-0.05
-2.66,8.67,1.87, -0.12,0.08,-0.09
-2.78,8.58,1.33, -0.15,0.10,-0.04
-2.57,9.08,1.16, -0.11,-0.11,-0.07
-2.79,9.00,1.50, -0.05,-0.16,-0.05
-3.13,8.35,1.31, -0.16,-0.07,0.02
-0.92,9.29,1.95, 0.05,-0.65,0.04
-2.27,8.72,1.36, -0.20,-0.14,-0.01
-2.52,9.14,2.80, -0.21,-0.50,-0.41
-0.88,9.57,2.64, -0.21,0.04,-0.29
-2.31,9.32,1.48, -0.28,0.47,0.01
-2.40,8.82,1.96, -0.33,0.35,0.34
-2.53,8.29,2.45, -0.32,0.36,0.37
-1.46,9.35,2.38, 0.10,-0.57,-0.35
-1.48,9.91,1.64, -0.03,-0.34,-0.23
-2.40,8.70,2.44, -0.23,0.31,0.08
-2.66,8.52,2.50, -0.12,0.09,0.04
-2.56,8.50,2.27, -0.10,0.07,-0.01
-2.22,8.85,1.84, 0.03,-0.42,-0.02
-1.38,9.11,2.82, -0.03,-0.00,-0.14
-2.43,9.00,1.73, -0.22,0.05,0.02
-2.39,8.70,2.28, -0.06,-0.10,-0.05
-2.95,8.64,2.16, -0.15,0.07,-0.06
-0.16,8.34,4.45, -0.04,0.21,0.07
-2.34,8.56,2.89, -0.05,0.18,-0.12
