AccX,AccY,AccZ,GyroX,GyroY,GyroZ
3.59,-7.43,-6.09, 0.00,-0.02,-0.04
3.81,-8.00,-6.47, 0.04,-0.08,0.01
3.51,-7.36,-6.58, -0.26,-0.04,0.09
3.54,-6.94,-6.92, -0.23,-0.05,0.13
3.51,-8.05,-6.32, -0.52,0.79,0.62
4.86,-6.85,-6.92, -0.53,0.73,0.32
4.62,-6.73,-7.12, -0.52,0.45,0.18
4.56,-6.60,-7.50, 0.10,-0.33,-0.31
4.90,-6.35,-7.50, -0.18,-0.21,-0.14
4.57,-5.26,-7.35, -0.22,0.00,-0.06
4.66,-4.98,-7.50, -0.15,0.58,-0.47
3.61,-5.90,-8.36, -0.20,0.58,-0.39
4.68,-4.66,-8.12, -0.16,0.51,-0.36
6.06,-5.90,-6.82, -0.30,0.02,-0.38
6.47,-5.63,-6.88, -0.14,-0.17,-0.23
7.22,-5.22,-6.98, 0.13,-0.11,-0.10
7.48,-4.86,-7.47, -0.07,0.30,0.07
7.27,-5.23,-7.00, -0.25,0.31,0.17
6.89,-5.47,-6.45, -0.36,0.45,0.21
7.78,-4.59,-7.06, -0.54,0.49,0.31
7.85,-4.67,-6.32, -0.13,0.08,-0.25
7.67,-4.03,-7.07, 0.27,-0.38,-0.38
8.94,-4.27,-6.62, 0.32,-0.53,-0.17
5.04,-6.48,-6.12, -0.23,0.09,0.54
4.09,-6.57,-6.55, -0.14,-0.11,-0.32
4.13,-6.69,-7.61, -0.12,0.19,-0.34
4.38,-5.85,-4.95, -0.14,-0.07,-0.58
6.17,-4.76,-6.26, -0.41,0.94,-0.14
10.37,0.12,-2.20, -0.19,-0.14,-0.26
9.33,-0.82,-1.03, -0.00,-0.16,0.13
10.61,0.02,-2.17, -0.09,-0.41,-0.30
10.92,-0.83,-1.04, -0.12,-0.41,0.25
9.45,0.00,-2.04, -0.05,-0.11,0.28
10.16,-1.05,-2.63, 0.01,0.14,0.13
9.39,-0.67,-1.73, 0.06,0.10,0.11
10.04,-1.29,-2.33, -0.01,0.06,0.08
10.17,-1.14,-2.00, 0.02,0.00,0.05
9.75,-1.38,-1.73, -0.05,0.09,0.13
10.60,-1.47,-1.22, -0.06,0.26,0.46
10.99,-1.66,-1.86, -0.22,0.02,1.14
11.77,-2.60,-1.75, -0.25,-0.10,1.30
9.50,-2.43,-3.97, 0.12,-1.74,-0.07
1.34,-5.72,-8.49, -0.01,0.00,-0.07
2.23,-6.72,-8.43, 0.42,0.07,-1.18
1.44,-7.03,-7.73, 0.56,-0.04,-1.30
2.73,-5.99,-8.67, 0.43,0.31,-0.75
3.16,-6.85,-8.04, 0.16,0.16,-0.37
5.01,-9.15,-6.31, 0.07,-0.54,-0.73
2.98,-6.79,-6.70, 0.51,-0.50,0.04
4.87,-6.80,-6.03, 0.37,0.01,0.37
3.29,-9.09,-4.05, 0.03,-0.55,-0.17
2.70,-8.65,-4.61, -0.12,-0.51,-0.13
2.75,-8.51,-5.05, -0.16,-0.30,-0.16
4.08,-8.15,-5.23, -0.12,0.39,-0.25
4.30,-8.26,-5.48, -0.20,0.34,-0.23
5.08,-7.36,-5.25, -0.31,-0.37,-0.36
5.34,-7.54,-5.84, -0.05,0.01,0.00
5.16,-7.47,-6.06, -0.26,0.12,0.25
3.96,-7.83,-5.90, -0.35,-0.04,0.64
4.47,-8.67,-5.88, -0.44,1.08,1.16
3.91,-7.08,-5.57, -0.23,0.66,0.24
2.76,-7.02,-6.98, -0.24,0.74,0.01
3.80,-8.13,-6.38, -0.09,0.67,-0.25
2.53,-7.18,-6.22, 0.04,0.14,-0.68
4.57,-8.86,-6.12, -0.50,0.68,-1.03
11.78,1.92,-1.09, 0.20,0.07,-0.49
