AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2.27,-4.97,-9.50, -0.09,-0.11,-0.37
3.52,-4.77,-8.86, -0.33,-0.08,-0.61
3.22,-4.44,-8.32, -0.49,0.29,-1.06
5.88,-4.22,-7.40, -0.55,-0.46,0.07
6.87,-2.98,-8.57, -0.05,-0.37,-0.38
6.07,-2.97,-8.14, -0.23,1.09,-0.62
6.63,-1.98,-8.97, -0.27,0.92,-0.28
7.37,-0.04,-8.15, 0.81,-1.40,0.05
-8.67,2.02,-3.94, -0.59,-0.47,0.34
-8.79,1.81,-3.52, -0.26,-0.36,0.37
-8.48,1.50,-6.44, -0.63,-0.45,0.06
-8.85,2.32,-3.35, -0.10,-0.40,-0.01
-9.26,1.28,-3.14, -0.07,-0.27,-0.13
-9.94,1.17,-2.54, 0.03,-0.02,0.05
-9.25,1.47,-3.07, -0.09,-0.16,0.03
-8.85,2.51,-3.18, -0.07,-0.15,0.04
-7.92,1.63,-2.26, 0.02,-0.10,-0.30
-9.76,1.61,-2.71, -0.06,-0.11,-0.08
-9.58,1.59,-2.81, 0.01,-0.01,0.00
-9.83,0.92,-2.63, -0.03,-0.11,-0.20
-8.84,1.14,-3.17, 0.13,0.84,-0.04
-8.29,2.71,-3.25, 0.24,0.95,0.04
-8.95,1.03,-5.56, 0.50,1.00,-0.11
-8.07,0.85,-6.24, -0.05,-0.18,-0.10
-8.93,0.75,-5.37, -0.18,-0.16,-0.08
-8.33,0.61,-5.43, -0.40,-0.02,0.08
-7.05,1.76,-5.81, -0.11,-0.01,0.12
-8.36,0.68,-5.59, 0.44,0.01,-0.32
-8.55,1.40,-6.04, 0.33,0.14,-0.44
-9.66,0.61,-6.36, 0.35,-0.05,-0.38
2.72,-2.51,-9.38, 0.11,0.74,0.18
6.48,-3.09,-7.55, -0.60,0.40,0.70
5.55,-5.02,-7.93, -0.65,0.16,0.69
7.12,-5.13,-7.79, -1.14,0.60,0.50
6.35,-3.02,-6.35, 0.57,-1.59,-0.53
6.32,-4.06,-6.20, 0.64,-1.62,-0.64
-7.75,2.66,-6.10, -0.17,-0.30,-0.04
-8.36,2.37,-6.11, -0.20,-0.46,-0.27
-8.06,2.14,-5.11, -0.03,-0.40,-0.08
-8.55,2.43,-5.08, -0.10,-0.44,-0.14
-8.90,1.91,-4.53, 0.02,-0.06,-0.07
-9.07,1.41,-4.28, -0.07,-0.12,-0.05
-9.05,1.49,-4.48, -0.17,-0.01,-0.07
-8.51,2.21,-4.96, -0.27,0.03,-0.13
-8.59,1.91,-5.02, -0.33,0.08,-0.04
-8.83,1.75,-4.69, -0.17,-0.04,-0.08
-9.15,1.41,-4.37, -0.15,-0.05,-0.12
-8.59,1.37,-4.37, -0.15,-0.09,-0.06
-8.97,1.72,-3.71, 0.02,0.09,0.04
-7.72,2.27,-4.40, 0.12,0.29,-0.04
-8.50,2.04,-5.32, 0.20,0.59,-0.28
-8.12,2.73,-6.42, -0.09,0.88,-0.44
-5.27,0.00,-9.40, -0.63,1.64,-0.13
7.58,-5.93,-4.30, -0.28,0.06,0.07
7.20,-5.37,-5.05, -0.31,-0.33,0.04
7.00,-5.64,-4.48, -0.33,-0.37,0.12
6.96,-5.87,-4.64, -0.23,-0.59,0.10
7.86,-5.54,-5.02, -0.29,-0.45,0.10
7.26,-5.60,-5.29, -0.15,-0.66,-0.46
8.24,-5.32,-5.92, -0.10,-0.75,-0.63
7.50,-4.50,-6.02, 0.16,-1.14,-1.27
-8.48,2.33,-4.39, -0.00,-0.05,0.12
-7.48,3.97,-3.54, 0.06,0.90,0.19
-8.15,2.73,-4.32, 0.46,1.27,0.13
-5.32,1.54,-8.44, 0.39,0.46,-0.09
6.71,-5.53,-6.76, -0.24,0.28,0.20
8.81,-4.88,-6.24, -0.76,0.56,0.27
8.84,-4.21,-6.34, -0.89,0.35,-0.04
8.93,-3.81,-6.55, -0.81,0.30,-0.37
7.74,-3.11,-6.78, -1.06,0.74,-0.08
8.60,-3.98,-5.34, -0.88,0.81,-0.07
8.42,-0.54,-5.18, -0.44,0.43,-0.19
6.27,-3.77,-8.39, -0.34,-0.13,0.53
5.44,-2.88,-9.28, -0.09,-0.29,-0.01
4.28,-3.54,-8.58, -0.09,-0.64,-0.36
5.06,-1.97,-8.76, -0.04,-0.11,0.23
4.42,-3.94,-8.84, -0.07,-0.14,-0.19
3.58,-4.40,-9.25, -0.11,-0.11,-0.00
3.92,-3.71,-8.88, -0.03,-0.14,-0.02
4.13,-3.47,-9.11, -0.01,-0.14,0.04
4.33,-3.96,-8.84, -0.00,-0.17,-0.04
4.02,-4.18,-9.12, 0.10,0.03,-0.10
4.41,-4.61,-8.88, 0.09,-0.09,-0.08
4.03,-4.58,-8.76, 0.03,0.04,-0.08
4.28,-4.82,-8.74, -0.02,0.06,0.09
3.92,-4.43,-9.02, -0.01,-0.16,-0.13
4.86,-3.72,-7.59, 0.06,-0.03,-0.09
4.48,-5.02,-9.33, 0.38,0.47,-0.14
5.65,-4.38,-7.89, -0.46,0.11,0.28
5.93,-4.97,-8.26, -0.49,-0.06,-0.21
5.53,-3.87,-8.99, -1.17,0.48,-0.09
7.64,-3.15,-7.57, 0.55,-0.48,0.20
5.83,-3.55,-7.11, 0.78,-0.41,-0.65
4.66,-6.19,-6.87, -0.07,-0.34,0.26
5.77,-6.14,-6.96, -0.16,0.07,0.20
4.73,-6.49,-5.90, -0.48,-0.06,-0.41
6.52,-7.02,-6.46, -0.71,0.27,-0.56
7.70,-3.60,-8.21, 0.62,-1.04,-0.89
10.13,-4.57,-6.92, -1.58,0.28,1.21
7.77,-5.88,-3.50, -0.21,-0.22,-0.69
8.63,-2.85,-3.76, -0.68,-1.37,1.16
9.29,-4.05,-6.62, 0.27,-0.73,-0.13
6.77,-2.85,-6.58, 0.71,-1.09,-0.59
4.47,-5.13,-7.97, -0.19,-0.23,0.33
3.68,-5.89,-8.37, 0.11,-0.40,-0.15
1.12,-6.19,-9.25, -0.47,0.53,0.86
0.78,-5.38,-9.08, -0.15,0.02,-0.04
1.90,-4.28,-9.11, -0.31,0.12,-0.06
0.30,-5.46,-10.32, -0.28,0.18,-0.06
0.73,-4.90,-9.19, -0.33,0.05,0.08
1.41,-5.22,-9.28, 0.06,0.08,-0.06
1.20,-5.06,-9.99, 0.01,-0.12,-0.04
1.46,-5.39,-9.46, -0.05,-0.23,-0.06
1.29,-5.19,-9.78, -0.15,-0.28,0.05
0.60,-5.11,-10.49, -0.25,-0.55,0.00
0.32,-5.17,-9.98, -0.45,-0.62,0.14
-0.17,-4.50,-9.80, -0.03,-0.46,-0.06
-0.04,-4.57,-9.33, -0.30,-0.37,0.32
-1.26,-4.61,-9.33, 0.25,0.27,-0.46
-0.55,-4.82,-9.61, 0.32,0.42,-0.19
0.37,-5.19,-9.89, 0.24,0.50,-0.34
2.53,-6.69,-8.11, -0.08,0.00,-0.02
2.95,-6.70,-8.03, -0.11,0.03,0.01
2.04,-6.26,-8.63, -0.47,-0.37,0.28
1.78,-6.23,-8.64, -0.51,-0.41,0.30
-1.65,-4.89,-9.56, -0.09,-0.10,0.01
-1.58,-4.86,-9.63, -0.06,-0.12,-0.02
-1.62,-4.89,-9.40, -0.07,-0.11,-0.02
-0.21,-5.34,-8.89, 0.24,0.50,-0.33
-0.09,-5.36,-8.77, 0.28,0.50,-0.31
-0.01,-5.91,-9.08, 0.34,0.50,-0.32
1.83,-7.35,-8.25, -0.34,-0.45,0.27
1.60,-7.06,-8.32, -0.41,-0.50,0.35
-2.22,-4.55,-9.37, -0.03,-0.09,-0.05
-0.81,-5.02,-9.58, 0.33,0.40,-0.37
-0.96,-5.77,-9.62, 0.23,0.31,-0.42
1.97,-6.82,-8.20, 0.01,-0.09,-0.04
1.29,-6.71,-8.27, -0.20,-0.05,-0.02
1.39,-7.18,-7.79, 0.02,-0.12,-0.08
1.73,-6.93,-7.85, 0.01,0.04,0.09
2.53,-7.57,-7.56, 0.01,-0.00,-0.02
1.79,-6.94,-8.17, -0.31,-0.29,0.01
1.64,-6.52,-8.33, -0.40,-0.28,-0.00
0.96,-5.52,-9.05, -0.12,-0.18,-0.00
1.10,-5.56,-8.97, -0.12,-0.09,0.01
0.78,-5.90,-8.66, -0.02,-0.02,-0.04
1.09,-6.39,-9.20, 0.06,0.06,-0.09
0.61,-6.78,-9.02, 0.12,-0.11,-0.06
1.21,-6.15,-8.83, -0.00,0.06,0.05
2.07,-6.65,-7.94, -0.01,-0.02,-0.03
2.53,-7.36,-8.20, -0.05,-0.01,-0.02
1.89,-6.98,-7.73, 0.08,0.04,-0.08
2.75,-7.53,-7.58, 0.09,0.03,0.02
2.01,-6.89,-7.54, 0.10,-0.02,0.01
2.63,-7.65,-7.79, -0.07,-0.09,0.00
2.70,-7.62,-7.69, -0.17,-0.08,0.03
2.34,-6.75,-6.92, 0.06,-0.01,-0.01
1.84,-7.12,-7.42, 0.00,-0.06,-0.07
2.08,-7.05,-7.93, -0.04,0.04,-0.11
1.97,-6.94,-7.76, -0.46,-0.09,0.12
2.43,-6.15,-7.60, 0.02,-0.34,0.15
1.71,-6.81,-7.67, 0.19,-0.26,0.14
2.47,-6.77,-8.06, -0.20,-0.09,0.16
2.75,-7.20,-6.83, 0.07,-0.21,0.17
1.46,-6.74,-7.77, 0.11,-0.23,0.01
2.21,-8.09,-7.58, -0.36,0.26,0.00
3.24,-6.63,-7.39, -0.09,0.09,-0.10
4.15,-6.33,-7.10, -0.04,-0.02,-0.06
3.72,-6.72,-8.03, -0.19,-0.15,0.03
3.07,-6.53,-8.00, -0.38,-0.32,0.08
3.34,-6.09,-6.88, 0.13,-0.53,-0.23
